,event,fulldate,cov_all,age_cov,min_season_cov,fast_fraction,grid_cell
277,2,2015-09-01,1.0,0.9,0.5,0.6,115
278,3,2017-12-01,0.75,0.9,0.5,0.6,115
279,1,2013-12-01,0.4,0.9,0.5,0.6,117
280,2,2015-09-01,1.0,0.9,0.5,0.6,117
281,3,2017-12-01,0.75,0.9,0.5,0.6,117
282,1,2013-12-01,0.4,0.9,0.5,0.6,118
283,2,2015-09-01,1.0,0.9,0.5,0.6,118
284,3,2017-12-01,0.75,0.9,0.5,0.6,118
285,1,2013-12-01,0.4,0.9,0.5,0.6,119
286,2,2015-09-01,0.933333333333333,0.9,0.5,0.6,119
287,3,2017-12-01,0.75,0.9,0.5,0.6,119
288,1,2013-12-01,0.4,0.9,0.5,0.6,120
289,2,2015-09-01,0.444444444444444,0.9,0.5,0.6,120
290,3,2017-12-01,0.75,0.9,0.5,0.6,120
291,1,2013-12-01,0.4,0.9,0.5,0.6,121
292,2,2015-09-01,0.1,0.9,0.5,0.6,121
293,3,2017-12-01,0.75,0.9,0.5,0.6,121
294,1,2013-12-01,0.4,0.9,0.5,0.6,122
295,2,2015-09-01,1.0,0.9,0.5,0.6,122
296,3,2017-12-01,0.75,0.9,0.5,0.6,122
297,1,2013-12-01,0.4,0.9,0.5,0.6,123
298,2,2015-09-01,1.0,0.9,0.5,0.6,123
299,3,2017-12-01,0.75,0.9,0.5,0.6,123
300,1,2013-12-01,0.4,0.9,0.5,0.6,124
301,2,2015-09-01,1.0,0.9,0.5,0.6,124
302,3,2017-12-01,0.75,0.9,0.5,0.6,124
303,1,2013-12-01,0.4,0.9,0.5,0.6,125
304,2,2015-09-01,0.695652173913043,0.9,0.5,0.6,125
305,3,2017-12-01,0.75,0.9,0.5,0.6,125
306,1,2013-12-01,0.4,0.9,0.5,0.6,126
307,2,2015-09-01,0.956521739130435,0.9,0.5,0.6,126
308,3,2017-12-01,0.75,0.9,0.5,0.6,126
309,1,2013-12-01,0.4,0.9,0.5,0.6,127
310,2,2015-09-01,0.595238095238095,0.9,0.5,0.6,127
311,3,2017-12-01,0.75,0.9,0.5,0.6,127
312,1,2013-12-01,0.4,0.9,0.5,0.6,128
313,2,2015-09-01,0.0,0.9,0.5,0.6,128
314,3,2017-12-01,0.75,0.9,0.5,0.6,128
315,1,2013-12-01,0.4,0.9,0.5,0.6,129
316,2,2015-09-01,1.0,0.9,0.5,0.6,129
317,3,2017-12-01,0.75,0.9,0.5,0.6,129
318,1,2013-12-01,0.4,0.9,0.5,0.6,131
319,2,2015-09-01,0.0,0.9,0.5,0.6,131
320,3,2017-12-01,0.75,0.9,0.5,0.6,131
321,1,2013-12-01,0.4,0.9,0.5,0.6,132
322,2,2015-09-01,0.0,0.9,0.5,0.6,132
323,3,2017-12-01,0.75,0.9,0.5,0.6,132
324,1,2013-12-01,0.4,0.9,0.5,0.6,134
325,2,2015-09-01,1.0,0.9,0.5,0.6,134
326,3,2017-12-01,0.75,0.9,0.5,0.6,134
327,1,2013-12-01,0.4,0.9,0.5,0.6,136
328,2,2015-09-01,1.0,0.9,0.5,0.6,136
329,3,2017-12-01,0.75,0.9,0.5,0.6,136
330,1,2013-12-01,0.4,0.9,0.5,0.6,137
331,2,2015-09-01,0.966666666666667,0.9,0.5,0.6,137
332,3,2017-12-01,0.75,0.9,0.5,0.6,137
333,1,2013-12-01,0.4,0.9,0.5,0.6,138
334,2,2015-09-01,1.0,0.9,0.5,0.6,138
335,3,2017-12-01,0.75,0.9,0.5,0.6,138
336,1,2013-12-01,0.4,0.9,0.5,0.6,139
337,2,2015-09-01,0.875,0.9,0.5,0.6,139
338,3,2017-12-01,0.75,0.9,0.5,0.6,139
339,1,2013-12-01,0.4,0.9,0.5,0.6,140
340,2,2015-09-01,0.535714285714286,0.9,0.5,0.6,140
341,3,2017-12-01,0.75,0.9,0.5,0.6,140
342,1,2013-12-01,0.4,0.9,0.5,0.6,141
343,2,2015-09-01,1.0,0.9,0.5,0.6,141
344,3,2017-12-01,0.75,0.9,0.5,0.6,141
345,1,2013-12-01,0.4,0.9,0.5,0.6,142
346,2,2015-09-01,0.55,0.9,0.5,0.6,142
347,3,2017-12-01,0.75,0.9,0.5,0.6,142
348,1,2013-12-01,0.4,0.9,0.5,0.6,143
349,2,2015-09-01,0.7777777777777779,0.9,0.5,0.6,143
350,3,2017-12-01,0.75,0.9,0.5,0.6,143
351,1,2013-12-01,0.4,0.9,0.5,0.6,144
352,2,2015-09-01,1.0,0.9,0.5,0.6,144
353,3,2017-12-01,0.75,0.9,0.5,0.6,144
354,1,2013-12-01,0.4,0.9,0.5,0.6,145
355,2,2015-09-01,1.0,0.9,0.5,0.6,145
356,3,2017-12-01,0.75,0.9,0.5,0.6,145
357,1,2013-12-01,0.4,0.9,0.5,0.6,146
358,2,2015-09-01,1.0,0.9,0.5,0.6,146
359,3,2017-12-01,0.75,0.9,0.5,0.6,146
360,1,2013-12-01,0.4,0.9,0.5,0.6,147
361,2,2015-09-01,0.6,0.9,0.5,0.6,147
362,3,2017-12-01,0.75,0.9,0.5,0.6,147
363,1,2013-12-01,0.4,0.9,0.5,0.6,148
364,2,2015-09-01,0.5,0.9,0.5,0.6,148
365,3,2017-12-01,0.75,0.9,0.5,0.6,148
366,1,2013-12-01,0.4,0.9,0.5,0.6,149
367,2,2015-09-01,0.25,0.9,0.5,0.6,149
368,3,2017-12-01,0.75,0.9,0.5,0.6,149
369,1,2013-12-01,0.4,0.9,0.5,0.6,150
370,2,2015-09-01,1.0,0.9,0.5,0.6,150
371,3,2017-12-01,0.75,0.9,0.5,0.6,150
372,1,2013-12-01,0.4,0.9,0.5,0.6,151
373,2,2015-09-01,1.0,0.9,0.5,0.6,151
374,3,2017-12-01,0.75,0.9,0.5,0.6,151
375,1,2013-12-01,0.4,0.9,0.5,0.6,152
376,2,2015-09-01,0.325,0.9,0.5,0.6,152
377,3,2017-12-01,0.75,0.9,0.5,0.6,152
378,1,2013-12-01,0.4,0.9,0.5,0.6,153
379,2,2015-09-01,0.0,0.9,0.5,0.6,153
380,3,2017-12-01,0.75,0.9,0.5,0.6,153
381,1,2013-12-01,0.4,0.9,0.5,0.6,154
382,2,2015-09-01,0.0,0.9,0.5,0.6,154
383,3,2017-12-01,0.75,0.9,0.5,0.6,154
384,1,2013-12-01,0.4,0.9,0.5,0.6,155
385,2,2015-09-01,1.0,0.9,0.5,0.6,155
386,3,2017-12-01,0.75,0.9,0.5,0.6,155
387,1,2013-12-01,0.4,0.9,0.5,0.6,156
388,2,2015-09-01,0.0,0.9,0.5,0.6,156
389,3,2017-12-01,0.75,0.9,0.5,0.6,156
390,1,2013-12-01,0.4,0.9,0.5,0.6,157
391,2,2015-09-01,0.0,0.9,0.5,0.6,157
392,3,2017-12-01,0.75,0.9,0.5,0.6,157
393,1,2013-12-01,0.4,0.9,0.5,0.6,158
394,2,2015-09-01,0.0,0.9,0.5,0.6,158
395,3,2017-12-01,0.75,0.9,0.5,0.6,158
396,1,2013-12-01,0.4,0.9,0.5,0.6,160
397,2,2015-09-01,0.0769230769230769,0.9,0.5,0.6,160
398,3,2017-12-01,0.75,0.9,0.5,0.6,160
399,1,2013-12-01,0.4,0.9,0.5,0.6,161
400,2,2015-09-01,0.0,0.9,0.5,0.6,161
401,3,2017-12-01,0.75,0.9,0.5,0.6,161
