,grid_cell,event,fulldate,cov_all,killing,box_duration,exp_duration
265,82,1,2014-09-01,0.5,0.6,1,90
266,82,2,2015-09-01,0.666666667,0.9,210,30
267,82,3,2016-09-01,1.0,0.9,210,30
268,82,4,2017-09-01,0.67,0.9,210,30
269,83,1,2014-09-01,0.133333333,0.6,1,90
270,83,2,2015-09-01,0.7777777779999999,0.9,210,30
271,83,3,2016-09-01,0.666666667,0.9,210,30
272,83,4,2017-09-01,0.67,0.9,210,30
273,84,1,2014-09-01,0.0,0.6,1,90
274,84,2,2015-09-01,1.0,0.9,210,30
275,84,3,2016-09-01,1.0,0.9,210,30
276,84,4,2017-09-01,0.67,0.9,210,30
277,86,1,2014-09-01,0.0,0.6,1,90
278,86,2,2015-09-01,1.0,0.9,210,30
279,86,3,2016-09-01,1.0,0.9,210,30
280,86,4,2017-12-01,0.86,0.9,210,30
281,87,1,2014-09-01,0.0,0.6,1,90
282,87,2,2015-09-01,1.0,0.9,210,30
283,87,3,2016-09-01,0.5,0.9,210,30
284,87,4,2017-12-01,0.86,0.9,210,30
285,88,1,2015-09-01,1.0,0.9,210,30
286,89,1,2014-09-01,0.0,0.6,1,90
287,89,2,2015-09-01,0.5,0.9,210,30
288,89,3,2016-09-01,1.0,0.9,210,30
289,89,4,2017-12-01,0.86,0.9,210,30
290,90,1,2014-09-01,0.0,0.6,1,90
291,90,2,2015-09-01,1.0,0.9,210,30
292,90,3,2016-09-01,1.0,0.9,210,30
293,90,4,2017-12-01,0.86,0.9,210,30
294,91,1,2014-09-01,0.0,0.6,1,90
295,91,2,2015-09-01,0.0,0.9,210,30
296,92,1,2014-09-01,0.0,0.6,1,90
297,92,2,2015-09-01,1.0,0.9,210,30
298,92,3,2016-09-01,1.0,0.9,210,30
299,92,4,2017-09-01,0.67,0.9,210,30
300,93,1,2014-09-01,1.0,0.6,1,90
301,93,2,2015-09-01,1.0,0.9,210,30
302,93,3,2016-09-01,1.0,0.9,210,30
303,93,4,2017-09-01,0.67,0.9,210,30
304,94,1,2014-09-01,1.0,0.6,1,90
305,94,2,2015-09-01,1.0,0.9,210,30
306,94,3,2016-09-01,1.0,0.9,210,30
307,94,4,2017-12-01,0.86,0.9,210,30
308,95,1,2014-09-01,1.0,0.6,1,90
309,95,2,2015-09-01,0.0,0.9,210,30
310,96,1,2015-09-01,0.5,0.9,210,30
311,96,2,2016-09-01,1.0,0.9,210,30
312,96,3,2017-09-01,0.67,0.9,210,30
313,97,1,2014-09-01,0.46153846200000004,0.6,1,90
314,97,2,2015-09-01,0.764705882,0.9,210,30
315,97,3,2016-09-01,0.666666667,0.9,210,30
316,97,4,2017-09-01,0.67,0.9,210,30
317,98,1,2014-09-01,0.5,0.6,1,90
318,98,2,2015-09-01,1.0,0.9,210,30
319,98,3,2016-09-01,0.5,0.9,210,30
320,98,4,2017-09-01,0.67,0.9,210,30
321,99,1,2015-09-01,1.0,0.9,210,30
322,99,2,2016-09-01,1.0,0.9,210,30
323,99,3,2017-12-01,0.86,0.9,210,30
324,100,1,2014-09-01,0.0,0.6,1,90
325,100,2,2015-09-01,1.0,0.9,210,30
326,100,3,2016-09-01,1.0,0.9,210,30
327,100,4,2017-12-01,0.86,0.9,210,30
328,101,1,2015-09-01,0.0,0.9,210,30
329,102,1,2014-09-01,0.0,0.6,1,90
330,102,2,2015-09-01,1.0,0.9,210,30
331,102,3,2016-09-01,0.5,0.9,210,30
332,102,4,2017-09-01,0.67,0.9,210,30
333,103,1,2014-09-01,0.0,0.6,1,90
334,103,2,2015-09-01,1.0,0.9,210,30
335,103,3,2016-09-01,1.0,0.9,210,30
336,103,4,2017-09-01,0.67,0.9,210,30
337,104,1,2014-09-01,0.5555555560000001,0.6,1,90
338,104,2,2015-09-01,0.875,0.9,210,30
339,104,3,2016-09-01,0.75,0.9,210,30
340,104,4,2017-09-01,0.67,0.9,210,30
341,105,1,2014-09-01,0.0,0.6,1,90
342,105,2,2015-09-01,1.0,0.9,210,30
343,105,3,2016-09-01,1.0,0.9,210,30
344,105,4,2017-12-01,0.86,0.9,210,30
345,106,1,2015-09-01,0.5,0.9,210,30
346,107,1,2014-09-01,1.0,0.6,1,90
347,107,2,2015-09-01,0.8,0.9,210,30
348,107,3,2016-09-01,0.8,0.9,210,30
349,107,4,2017-12-01,0.86,0.9,210,30
350,108,1,2014-09-01,0.0,0.6,1,90
351,108,2,2015-09-01,0.2,0.9,210,30
352,108,3,2016-09-01,1.0,0.9,210,30
353,108,4,2017-12-01,0.86,0.9,210,30
354,109,1,2014-09-01,0.0,0.6,1,90
355,109,2,2015-09-01,1.0,0.9,210,30
356,109,3,2016-09-01,0.5,0.9,210,30
357,109,4,2017-12-01,0.86,0.9,210,30
358,110,1,2015-09-01,0.0,0.9,210,30
359,111,1,2015-09-01,1.0,0.9,210,30
360,111,2,2016-09-01,1.0,0.9,210,30
361,111,3,2017-12-01,0.86,0.9,210,30
362,113,1,2014-09-01,0.0,0.6,1,90
363,113,2,2015-09-01,0.666666667,0.9,210,30
364,113,3,2016-09-01,0.333333333,0.9,210,30
365,113,4,2017-09-01,0.333333333,0.9,210,30
366,114,1,2014-09-01,0.333333333,0.6,1,90
367,114,2,2015-09-01,1.0,0.9,210,30
368,114,3,2016-09-01,1.0,0.9,210,30
369,114,4,2017-09-01,1.0,0.9,210,30
370,115,1,2014-09-01,0.5,0.6,1,90
371,115,2,2015-09-01,1.0,0.9,210,30
372,115,3,2016-09-01,1.0,0.9,210,30
373,115,4,2017-12-01,0.86,0.9,210,30
374,117,1,2014-09-01,1.0,0.6,1,90
375,117,2,2015-09-01,1.0,0.9,210,30
376,118,1,2014-09-01,0.0,0.6,1,90
377,118,2,2015-09-01,1.0,0.9,210,30
378,118,3,2016-09-01,0.0,0.9,210,30
379,118,4,2017-09-01,0.0,0.9,210,30
380,119,1,2014-09-01,0.5,0.6,1,90
381,119,2,2015-09-01,0.833333333,0.9,210,30
382,119,3,2016-09-01,1.0,0.9,210,30
383,119,4,2017-09-01,1.0,0.9,210,30
384,120,1,2014-09-01,1.0,0.6,1,90
385,120,2,2015-09-01,1.0,0.9,210,30
386,120,3,2016-09-01,1.0,0.9,210,30
387,120,4,2017-09-01,1.0,0.9,210,30
388,121,1,2014-09-01,1.0,0.6,1,90
389,121,2,2015-09-01,1.0,0.9,210,30
390,121,3,2016-09-01,1.0,0.9,210,30
391,121,4,2017-12-01,0.86,0.9,210,30
392,122,1,2014-09-01,1.0,0.6,1,90
393,122,2,2015-09-01,1.0,0.9,210,30
394,122,3,2016-09-01,1.0,0.9,210,30
395,122,4,2017-12-01,0.86,0.9,210,30
396,123,1,2014-09-01,0.5,0.6,1,90
397,123,2,2015-09-01,0.875,0.9,210,30
398,123,3,2016-09-01,0.7777777779999999,0.9,210,30
399,123,4,2017-12-01,0.86,0.9,210,30
400,124,1,2014-09-01,0.666666667,0.6,1,90
401,124,2,2015-09-01,1.0,0.9,210,30
402,124,3,2016-09-01,1.0,0.9,210,30
403,124,4,2017-12-01,0.86,0.9,210,30
404,125,1,2014-09-01,0.6,0.6,1,90
405,125,2,2015-09-01,0.8,0.9,210,30
406,126,1,2014-09-01,0.2,0.6,1,90
407,126,2,2015-09-01,0.7857142859999999,0.9,210,30
408,126,3,2016-09-01,0.666666667,0.9,210,30
409,126,4,2017-09-01,0.666666667,0.9,210,30
