,event,fulldate,cov_all,grid_cell
354,3,2016-12-06,0.0,94
355,4,2017-01-25,0.0,94
356,1,2015-11-25,0.75,95
357,2,2016-01-26,0.0,95
358,3,2016-12-07,0.0,95
359,4,2017-01-25,0.0,95
360,1,2015-11-26,0.666666666666667,96
361,2,2016-01-26,0.0,96
362,3,2016-12-09,0.33333333333333304,96
363,4,2017-01-25,0.0,96
364,1,2015-11-18,0.42307692307692296,97
365,2,2016-01-27,0.166666666666667,97
366,3,2016-12-08,0.24358974358974397,97
367,4,2017-01-27,0.269230769230769,97
368,1,2015-11-18,0.625,98
369,2,2016-02-04,0.375,98
370,3,2016-12-08,0.375,98
371,4,2017-01-28,0.625,98
372,1,2015-11-18,0.45161290322580605,99
373,2,2016-01-26,0.0,99
374,3,2016-12-06,0.48387096774193505,99
375,4,2017-02-01,0.419354838709677,99
376,1,2015-11-25,0.7142857142857142,100
377,2,2016-01-28,0.0,100
378,3,2016-12-06,0.28571428571428603,100
379,4,2017-02-08,0.14285714285714302,100
380,1,2015-11-26,1.0,101
381,2,2016-01-26,0.0,101
382,3,2016-12-07,0.0,101
383,4,2017-01-25,0.0,101
384,1,2015-11-18,0.7894736842105259,102
385,2,2016-01-26,0.421052631578947,102
386,3,2016-12-08,0.421052631578947,102
387,4,2017-01-28,0.421052631578947,102
388,1,2015-11-26,0.2,103
389,2,2016-01-26,0.2,103
390,3,2016-12-08,0.8,103
391,4,2017-01-27,0.4,103
392,1,2015-11-18,0.3,104
393,2,2016-01-27,0.1,104
394,3,2016-12-08,0.24,104
395,4,2017-01-28,0.52,104
396,1,2015-11-18,1.0,105
397,2,2016-01-27,1.0,105
398,3,2016-12-06,1.0,105
399,4,2017-02-01,1.0,105
400,1,2015-11-18,1.0,106
401,2,2016-01-26,0.0,106
402,3,2016-12-07,0.0,106
403,4,2017-01-25,0.0,106
404,1,2015-11-18,0.5,107
405,2,2016-01-27,0.20454545454545497,107
406,3,2016-12-06,0.43181818181818205,107
407,4,2017-02-01,0.31818181818181795,107
408,1,2015-11-18,0.6,108
409,2,2016-01-27,0.3,108
410,3,2016-12-06,0.1,108
411,4,2017-01-25,0.0,108
412,1,2015-11-18,0.666666666666667,109
413,2,2016-01-27,0.166666666666667,109
414,3,2016-12-06,0.5,109
415,4,2017-02-01,0.583333333333333,109
416,1,2015-11-26,1.0,110
417,2,2016-01-26,0.0,110
418,3,2016-12-07,0.0,110
419,4,2017-01-25,0.0,110
420,1,2015-11-18,0.18181818181818202,111
421,2,2016-01-26,0.0,111
422,3,2016-12-06,0.6363636363636359,111
423,4,2017-02-01,0.36363636363636404,111
424,1,2015-11-26,0.7142857142857142,113
425,2,2016-01-27,0.0,113
426,3,2016-12-10,0.42857142857142894,113
427,4,2017-01-25,0.0,113
428,1,2015-11-18,0.272727272727273,114
429,2,2016-01-27,0.45454545454545503,114
430,3,2016-12-10,0.6363636363636359,114
431,4,2017-01-25,0.0,114
432,1,2015-11-18,0.583333333333333,115
433,2,2016-01-27,0.5,115
434,3,2016-12-06,0.666666666666667,115
435,4,2017-02-02,0.583333333333333,115
436,1,2015-11-18,0.7142857142857142,117
437,2,2016-01-26,0.0,117
438,3,2016-12-07,0.0,117
439,4,2017-01-25,0.0,117
440,1,2015-11-18,1.0,118
441,2,2016-01-26,0.0,118
442,3,2016-12-07,0.0,118
443,4,2017-01-25,0.0,118
444,1,2015-11-18,0.48387096774193505,119
445,2,2016-01-26,0.0967741935483871,119
446,3,2016-12-10,0.516129032258065,119
447,4,2017-01-27,0.6129032258064521,119
448,1,2015-11-18,0.35,120
449,2,2016-01-27,0.2,120
450,3,2016-12-10,0.15,120
451,4,2017-01-28,0.15,120
452,1,2015-11-18,0.833333333333333,121
453,2,2016-01-28,0.5,121
454,3,2016-12-08,0.583333333333333,121
455,4,2017-01-25,0.5,121
456,1,2015-11-22,0.5,122
457,2,2016-01-26,0.0,122
458,3,2016-12-06,0.25,122
459,4,2017-01-25,0.0,122
460,1,2015-11-20,0.5,123
461,2,2016-01-27,0.414285714285714,123
462,3,2016-12-06,0.5285714285714289,123
463,4,2017-02-01,0.5,123
464,1,2015-11-20,0.508474576271186,124
465,2,2016-01-27,0.35593220338983095,124
466,3,2016-12-07,0.576271186440678,124
467,4,2017-02-02,0.440677966101695,124
468,1,2015-11-20,0.7419354838709681,125
469,2,2016-01-29,0.6451612903225811,125
470,3,2016-12-10,0.032258064516129,125
471,4,2017-01-25,0.0,125
472,1,2015-11-18,0.31506849315068497,126
473,2,2016-01-27,0.0547945205479452,126
474,3,2016-12-10,0.32876712328767105,126
475,4,2017-01-26,0.24657534246575302,126
476,1,2015-11-18,0.45161290322580605,127
477,2,2016-01-27,0.29032258064516103,127
478,3,2016-12-10,0.376344086021505,127
479,4,2017-01-26,0.387096774193548,127
480,1,2015-11-18,0.0625,128
481,2,2016-01-26,0.0625,128
482,3,2016-12-10,0.6875,128
483,4,2017-01-26,0.6875,128
484,1,2015-11-18,0.666666666666667,129
485,2,2016-01-26,0.0,129
486,3,2016-12-07,0.0,129
487,4,2017-01-25,0.5,129
488,1,2015-11-18,0.0,130
489,2,2016-01-26,0.0,130
490,3,2016-12-12,1.0,130
491,4,2017-01-25,0.0,130
492,1,2015-11-18,0.5,131
493,2,2016-01-27,0.5,131
494,3,2016-12-07,0.0,131
495,4,2017-01-25,0.125,131
496,1,2015-11-18,0.4,132
497,2,2016-01-27,0.2,132
498,3,2016-12-08,0.8,132
499,4,2017-01-25,0.8,132
500,1,2015-11-27,0.0,133
501,2,2016-01-29,0.5,133
502,3,2016-12-07,0.0,133
503,4,2017-01-25,0.0,133
504,1,2015-11-27,0.11764705882352902,134
505,2,2016-01-27,0.0588235294117647,134
506,3,2016-12-07,0.11764705882352902,134
507,4,2017-01-31,0.23529411764705901,134
508,1,2015-11-18,0.0,135
509,2,2016-01-29,0.4166666666666671,135
510,3,2016-12-08,0.75,135
511,4,2017-02-01,0.833333333333333,135
512,1,2015-11-27,0.47619047619047605,136
513,2,2016-01-29,0.47619047619047605,136
514,3,2016-12-08,0.33333333333333304,136
515,4,2017-02-01,0.7142857142857142,136
516,1,2015-11-27,0.545454545454545,137
517,2,2016-01-29,0.581818181818182,137
518,3,2016-12-08,0.6181818181818179,137
519,4,2017-02-01,0.490909090909091,137
520,1,2015-11-20,0.56,138
521,2,2016-01-26,0.2,138
522,3,2016-12-07,0.0,138
523,4,2017-01-25,0.0,138
524,1,2015-11-18,0.47058823529411803,139
525,2,2016-01-27,0.3529411764705879,139
526,3,2016-12-10,0.529411764705882,139
527,4,2017-01-26,0.647058823529412,139
528,1,2015-11-18,0.47619047619047605,140
529,2,2016-01-27,0.301587301587302,140
530,3,2016-12-10,0.23809523809523803,140
531,4,2017-01-26,0.47619047619047605,140
532,1,2015-11-18,0.33333333333333304,141
533,2,2016-01-26,0.0,141
534,3,2016-12-09,0.666666666666667,141
535,4,2017-01-25,0.666666666666667,141
536,1,2015-11-18,0.6,142
537,2,2016-01-27,0.48571428571428604,142
538,3,2016-12-08,0.4571428571428571,142
539,4,2017-01-25,0.5142857142857139,142
540,1,2015-11-18,0.818181818181818,143
541,2,2016-01-27,0.45454545454545503,143
542,3,2016-12-08,0.6363636363636359,143
543,4,2017-01-25,0.0,143
544,1,2015-11-25,0.33333333333333304,144
545,2,2016-01-26,0.666666666666667,144
546,3,2016-12-16,0.33333333333333304,144
547,4,2017-01-31,0.33333333333333304,144
548,1,2015-11-18,0.166666666666667,145
549,2,2016-01-28,0.166666666666667,145
550,3,2016-12-07,0.33333333333333304,145
551,4,2017-01-31,0.666666666666667,145
552,1,2015-11-18,0.6875,146
553,2,2016-01-29,0.625,146
554,3,2016-12-08,0.3125,146
555,4,2017-02-01,0.625,146
556,1,2015-11-27,0.33333333333333304,147
557,2,2016-01-29,0.38888888888888895,147
558,3,2016-12-08,0.555555555555556,147
559,4,2017-02-01,0.7777777777777779,147
560,1,2015-11-27,0.2,148
561,2,2016-01-26,0.7,148
562,3,2016-12-07,0.5,148
563,4,2017-02-01,0.8,148
564,1,2015-11-27,0.5714285714285711,149
565,2,2016-01-29,0.28571428571428603,149
566,3,2016-12-08,0.28571428571428603,149
567,4,2017-01-31,0.42857142857142894,149
568,1,2015-11-20,0.5,150
569,2,2016-01-26,0.0,150
570,3,2016-12-07,0.0,150
571,4,2017-01-25,0.0,150
572,1,2015-11-20,1.0,151
573,2,2016-01-26,0.0,151
574,3,2016-12-07,0.0,151
575,4,2017-01-25,0.0,151
576,1,2015-11-18,0.493827160493827,152
577,2,2016-01-29,0.37037037037037,152
578,3,2016-12-08,0.48148148148148107,152
579,4,2017-01-26,0.493827160493827,152
580,1,2015-11-18,0.5,153
581,2,2016-01-26,0.5,153
582,3,2016-12-07,0.0,153
583,4,2017-01-26,0.5,153
584,1,2015-11-19,1.0,154
585,2,2016-01-26,0.5,154
586,3,2016-12-07,0.0,154
587,4,2017-01-25,0.0,154
588,1,2015-11-18,0.25,155
589,2,2016-01-27,0.25,155
590,3,2016-12-07,0.0,155
591,4,2017-01-25,0.5,155
592,1,2015-11-25,1.0,156
593,2,2016-01-26,0.0,156
594,3,2016-12-07,0.0,156
595,4,2017-01-25,0.0,156
596,1,2015-11-25,0.666666666666667,157
597,2,2016-01-27,0.42857142857142894,157
598,3,2016-12-12,0.0476190476190476,157
599,4,2017-01-24,0.23809523809523803,157
600,1,2015-11-25,0.590909090909091,158
601,2,2016-01-27,0.272727272727273,158
602,3,2016-12-09,0.272727272727273,158
603,4,2017-01-24,0.545454545454545,158
604,1,2015-11-18,0.0,159
605,2,2016-01-26,0.0,159
606,3,2016-12-12,0.5,159
607,4,2017-01-24,1.0,159
608,1,2015-11-18,0.8,160
609,2,2016-01-26,0.2,160
610,3,2016-12-08,0.733333333333333,160
611,4,2017-01-25,0.6,160
612,1,2015-11-18,0.75,161
613,2,2016-01-27,1.0,161
614,3,2016-12-08,0.875,161
615,4,2017-01-25,1.0,161
616,1,2015-11-18,0.33333333333333304,162
617,2,2016-01-26,0.166666666666667,162
618,3,2016-12-16,0.5,162
619,4,2017-02-09,0.166666666666667,162
620,1,2015-11-18,0.311111111111111,163
621,2,2016-01-27,0.266666666666667,163
622,3,2016-12-07,0.222222222222222,163
623,4,2017-02-09,0.222222222222222,163
624,1,2015-11-18,0.585365853658537,164
625,2,2016-01-28,0.390243902439024,164
626,3,2016-12-07,0.390243902439024,164
627,4,2017-01-30,0.17073170731707302,164
628,1,2015-11-21,0.535714285714286,165
629,2,2016-01-27,0.3571428571428571,165
630,3,2016-12-07,0.46428571428571397,165
631,4,2017-01-31,0.214285714285714,165
632,1,2015-11-25,0.32,166
633,2,2016-01-27,0.2,166
634,3,2016-12-07,0.22,166
635,4,2017-01-31,0.3,166
636,1,2015-11-18,0.28571428571428603,167
637,2,2016-01-27,0.42857142857142894,167
638,3,2016-12-16,0.5,167
639,4,2017-01-31,0.6428571428571429,167
640,1,2015-11-18,0.818181818181818,168
641,2,2016-01-27,0.18181818181818202,168
642,3,2016-12-16,0.45454545454545503,168
643,4,2017-01-31,0.45454545454545503,168
644,1,2015-11-27,0.25,169
645,2,2016-01-26,0.0,169
646,3,2016-12-07,0.0,169
647,4,2017-01-25,0.0,169
648,1,2015-11-19,0.444444444444444,171
649,2,2016-01-26,0.0,171
650,3,2016-12-08,0.33333333333333304,171
651,4,2017-01-25,0.0,171
652,1,2015-11-19,0.2,172
653,2,2016-01-26,0.0,172
654,3,2016-12-08,0.3,172
655,4,2017-02-06,0.175,172
656,1,2015-11-19,0.583333333333333,173
657,2,2016-01-28,0.2,173
658,3,2016-12-08,0.4,173
659,4,2017-02-06,0.4333333333333329,173
660,1,2015-11-18,0.0,174
661,2,2016-01-28,0.0,174
662,3,2016-12-08,0.4375,174
663,4,2017-01-25,0.0,174
664,1,2015-11-25,0.545454545454545,175
665,2,2016-01-28,0.36363636363636404,175
666,3,2016-12-12,0.0909090909090909,175
667,4,2017-01-25,0.272727272727273,175
668,1,2015-11-25,1.0,176
669,2,2016-01-26,0.0,176
670,3,2016-12-07,0.0,176
671,4,2017-01-25,0.0,176
672,1,2015-11-18,0.43478260869565205,178
673,2,2016-01-27,0.34782608695652195,178
674,3,2016-12-16,0.565217391304348,178
675,4,2017-02-09,0.17391304347826098,178
676,1,2015-11-18,0.647058823529412,179
677,2,2016-01-27,0.411764705882353,179
678,3,2016-12-07,0.23529411764705901,179
679,4,2017-01-31,0.3529411764705879,179
680,1,2015-11-25,0.33333333333333304,180
681,2,2016-01-27,0.11904761904761901,180
682,3,2016-12-07,0.38095238095238104,180
683,4,2017-01-30,0.23809523809523803,180
684,1,2015-11-18,1.0,181
685,2,2016-01-26,1.0,181
686,3,2016-12-07,0.0,181
687,4,2017-01-25,0.0,181
688,1,2015-11-18,0.4,182
689,2,2016-01-27,0.4,182
690,3,2016-12-08,0.4,182
691,4,2017-01-26,0.4,182
692,1,2015-11-19,0.555555555555556,183
693,2,2016-01-26,0.444444444444444,183
694,3,2016-12-08,0.7777777777777779,183
695,4,2017-02-07,0.666666666666667,183
